Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Adam Wierzbicki (05),C2,ŚPO,2025-09-20,2025-09-21,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,ŚPO,2025-09-29,2025-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,ŚPO,2025-10-04,2025-10-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,ŚPO,2025-10-11,2025-10-12,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,ŚPO,2025-10-18,2025-10-19,1,60,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0
Adam Wierzbicki (05),C2,ŚPO,2025-10-25,2025-10-26,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,"10",2025-11-08,2025-11-09,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wierzbicki (05),C2,"10",2025-11-14,2025-11-16,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Adam Wierzbicki (05),C2,"10",2025-11-29,2025-11-30,1,45,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2
Adam Wierzbicki (05),C2,"10",2025-12-06,2025-12-07,1,45,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-09-20,2025-09-21,1,90,6,0,0,2,-2,0,-2,-1,0,0,4,0,0,0,10,-3
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-09-29,2025-09-30,1,45,6,2,0,0,0,0,0,0,0,1,2,4,0,0,11,4
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-10-04,2025-10-05,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-10-11,2025-10-12,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-10-18,2025-10-19,2,135,6,4,0,4,0,0,0,0,0,2,6,0,0,0,22,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-10-25,2025-10-26,1,73,3,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-10-29,2025-10-29,1,45,6,0,0,2,0,0,0,0,0,1,0,0,0,0,9,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-11-08,2025-11-09,1,90,6,4,0,4,0,0,0,0,0,2,2,0,0,0,18,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-11-14,2025-11-16,1,90,0,2,0,0,0,0,0,-1,0,2,0,0,0,0,4,-1
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-11-21,2025-11-23,1,45,0,0,4,0,0,0,0,0,0,2,0,0,0,0,6,0
Bartłomiej Zdzieszek (09),U-17,ŚP,2025-11-29,2025-11-30,1,60,3,0,0,0,0,0,0,0,0,1,2,0,0,0,6,0
